class,subclass
Q44854,Q8960966
Q44854,Q10280357
Q388924,Q388924
Q677859,Q677859
Q677859,Q56294333
Q13896240,Q13896240
Q899079,Q899079
Q899079,Q1537879
Q899079,Q1764821
Q899079,Q1865305
Q899079,Q16911101
Q899079,Q17144125
Q899079,Q18024170
Q899079,Q18668841
Q899079,Q107086890
Q5791104,Q5791104
Q107636079,Q107636079
Q28406203,Q28406203
Q11499675,Q11499675
Q11267647,Q11267647
Q2280140,Q2280140
Q844482,Q844482
Q844482,Q10737
Q844482,Q149086
Q844482,Q170430
Q844482,Q332155
Q844482,Q663296
Q844482,Q838633
Q844482,Q861451
Q844482,Q882171
Q844482,Q882249
Q844482,Q1727755
Q844482,Q1855439
Q844482,Q4189022
Q844482,Q6946605
Q844482,Q11095076
Q844482,Q23799049
Q844482,Q142824
Q844482,Q144137
Q844482,Q217327
Q844482,Q492814
Q844482,Q621076
Q844482,Q689846
Q844482,Q753811
Q844482,Q796006
Q844482,Q860373
Q844482,Q1047483
Q844482,Q1887233
Q844482,Q2746270
Q844482,Q3307578
Q844482,Q3503143
Q844482,Q3725156
Q844482,Q3976755
Q844482,Q4356260
Q844482,Q4737010
Q844482,Q4764987
Q844482,Q7245833
Q844482,Q7602982
Q844482,Q7635367
Q844482,Q7635371
Q844482,Q7635373
Q844482,Q7635374
Q844482,Q7635376
Q844482,Q7635378
Q844482,Q7635379
Q844482,Q7635382
Q844482,Q7635384
Q844482,Q7635385
Q844482,Q7635388
Q844482,Q7635391
Q844482,Q7883956
Q844482,Q8059353
Q844482,Q11388929
Q844482,Q13405491
Q844482,Q15278548
Q844482,Q15649423
Q844482,Q15896523
Q844482,Q16154904
Q844482,Q16895514
Q844482,Q17022185
Q844482,Q17089820
Q844482,Q17089829
Q844482,Q18572047
Q844482,Q18923049
Q844482,Q20390115
Q844482,Q22909150
Q844482,Q23661727
Q844482,Q25045354
Q844482,Q25378888
Q844482,Q27180926
Q844482,Q31190844
Q844482,Q39917302
Q844482,Q45382729
Q844482,Q52160371
Q844482,Q60983529
Q844482,Q62391220
Q844482,Q87390790
Q844482,Q109045198
Q844482,Q8454
Q844482,Q100159
Q844482,Q119094
Q844482,Q132821
Q844482,Q335511
Q844482,Q641449
Q844482,Q781757
Q844482,Q916412
Q844482,Q1186609
Q844482,Q1342425
Q844482,Q1369583
Q844482,Q1676173
