class	superclass
Q1174599	Q28813620
Q1174599	Q35120
Q1174599	Q21170479
Q1174599	Q29896155
Q1174599	Q99527517
Q1174599	Q1207505
Q1174599	Q10862449
Q1174599	Q55091441
Q1174599	Q937228
Q1174599	Q36161
Q1174599	Q930933
Q1174599	Q2995644
Q1174599	Q217594
Q1174599	Q864377
Q1174599	Q5469988
Q1174599	Q7184903
Q1174599	Q30241068
Q1174599	Q246672
Q1174599	Q16889133
Q1174599	Q4393498
Q1174599	Q488383
Q1174599	Q7048977
Q1174599	Q16686448
Q74948922	Q74948922
Q74948922	Q4
Q74948922	Q2956046
Q74948922	Q3505845
Q74948922	Q1150070
Q74948922	Q3537517
Q74948922	Q483247
Q74948922	Q937228
Q74948922	Q188572
Q74948922	Q35120
Q74948922	Q1190554
Q74948922	Q17320256
Q74948922	Q65757353
Q74948922	Q42848
Q74948922	Q2684591
Q74948922	Q26907166
Q74948922	Q1293220
Q74948922	Q111752858
Q74948922	Q11028
Q74948922	Q16722960
Q74948922	Q108163
Q74948922	Q58415929
Q74948922	Q3249551
Q74948922	Q7184903
Q74948922	Q246672
Q74948922	Q474328
Q74948922	Q20937557
Q74948922	Q67518978
Q74948922	Q41796
Q74948922	Q488383
Q74948922	Q7048977
Q74948922	Q16887380
Q74948922	Q1786828
Q74948922	Q9380010
Q74948922	Q15916540
Q74948922	Q28813620
Q74948922	Q5371079
Q74948922	Q628523
Q74948922	Q183046
Q74948922	Q20817253
Q74948922	Q99527517
Q74948922	Q16877783
Q74948922	Q16889133
Q74948922	Q29651519
Q10931	Q10931
Q10931	Q180684
Q10931	Q1510761
Q10931	Q1673271
Q10931	Q839578
Q10931	Q7562091
Q10931	Q1656682
Q10931	Q22087155
Q10931	Q23009439
Q10931	Q609298
Q10931	Q1190554
Q10931	Q3249551
Q10931	Q2574811
Q10931	Q1150070
Q10931	Q99632598
Q10931	Q52948
Q10931	Q602884
Q10931	Q921513
Q10931	Q26907166
Q10931	Q31464082
Q10931	Q20937557
Q10931	Q67518978
Q10931	Q4026292
Q10931	Q483247
Q10931	Q9332
Q10931	Q2990593
Q10931	Q22294683
Q10931	Q16887380
Q10931	Q58415929
Q10931	Q488383
Q10931	Q35120
Q10931	Q1914636
Q10931	Q188572
Q10931	Q2996394
Q10931	Q28813620
Q10931	Q22269697
Q10931	Q42848
Q10931	Q2684591
Q10931	Q13878858
Q10931	Q64732777
Q10931	Q99527517
Q10931	Q11028
Q10931	Q108163
Q10931	Q7184903
Q10931	Q246672
Q10931	Q474328
Q10931	Q41796
Q10931	Q7048977
Q10931	Q1786828
Q10931	Q9380010
Q10931	Q15916540
Q10931	Q5371079
Q10931	Q628523
Q10931	Q183046
Q10931	Q20817253
Q10931	Q16877783
Q10931	Q16889133
Q10931	Q29651519
Q30634609	Q30634609
Q30634609	Q2434238
Q30634609	Q3249551
Q30634609	Q5264406
Q30634609	Q82821
Q30634609	Q488383
Q30634609	Q1150070
Q30634609	Q20937557
Q30634609	Q67518978
Q30634609	Q1156895
Q30634609	Q251777
Q30634609	Q35120
Q30634609	Q1190554
Q30634609	Q2684591
Q30634609	Q16887380
Q30634609	Q367293
Q30634609	Q26907166
Q30634609	Q108163
Q30634609	Q28813620
Q30634609	Q11028
Q30634609	Q246672
Q30634609	Q474328
Q30634609	Q58415929
Q30634609	Q99527517
Q30634609	Q7184903
Q30634609	Q41796
Q30634609	Q1786828
Q30634609	Q9380010
Q30634609	Q15916540
Q30634609	Q7048977
Q30634609	Q5371079
Q30634609	Q628523
Q30634609	Q183046
Q30634609	Q20817253
Q30634609	Q16877783
Q30634609	Q16889133
Q30634609	Q29651519
Q7269307	Q7269307
Q7269307	Q1656682
Q7269307	Q2761147
Q7269307	Q1190554
Q7269307	Q26907166
Q7269307	Q58415929
Q7269307	Q35120
Q1072326	Q1072326
Q1072326	Q17195514
Q1072326	Q625994
Q1072326	Q1656682
Q1072326	Q2761147
Q1072326	Q1190554
Q1072326	Q26907166
Q1072326	Q58415929
Q1072326	Q35120
Q858439	Q858439
Q858439	Q40231
Q858439	Q189760
Q858439	Q841654
Q858439	Q388791
Q858439	Q1656682
Q858439	Q1864008
Q858439	Q12791748
Q858439	Q476300
Q858439	Q1139327
Q858439	Q1331926
Q858439	Q3482410
Q858439	Q52948
Q858439	Q1190554
Q858439	Q451967
Q858439	Q1856757
Q858439	Q2135540
Q858439	Q15621286
Q858439	Q3249551
Q858439	Q4026292
Q858439	Q61788060
Q858439	Q26907166
Q858439	Q781413
Q858439	Q12888920
Q858439	Q188572
Q858439	Q1150070
Q858439	Q20937557
Q858439	Q67518978
Q858439	Q921513
Q858439	Q386724
Q858439	Q42848
Q858439	Q2684591
Q858439	Q15401930
Q858439	Q1168263
Q858439	Q9332
Q858439	Q2990593
Q858439	Q22294683
Q858439	Q16887380
Q858439	Q58415929
Q858439	Q1914636
Q858439	Q3769299
Q858439	Q35120
Q858439	Q11028
Q858439	Q1724915
