class,subclass
Q193078,Q7162621
Q193078,Q4936774
Q193078,Q114953
Q193078,Q166019
Q193078,Q184753
Q193078,Q336254
Q193078,Q506616
Q193078,Q2751242
Q193078,Q17142966
Q193078,Q4936615
Q193078,Q2681162
Q193078,Q16965421
Q193078,Q8294850
Q193078,Q3505252
Q193078,Q3631225
Q193078,Q51159762
Q193078,Q190940
Q193078,Q3390934
Q193078,Q3587621
Q193078,Q753108
Q193078,Q2938159
Q193078,Q193211
Q193078,Q21119857
Q193078,Q1415275
Q193078,Q244913
Q210603,Q210603
Q2296401,Q2296401
Q2296401,Q2996400
Q2761147,Q2761147
Q2761147,Q111161
Q2761147,Q152263
Q2761147,Q267995
Q2761147,Q426394
Q2761147,Q545861
Q2761147,Q625994
Q2761147,Q751892
Q2761147,Q758824
Q2761147,Q1067715
Q2761147,Q1325214
Q2761147,Q1518315
Q2761147,Q1543677
Q2761147,Q1929797
Q2761147,Q2100614
Q2761147,Q2172087
Q2761147,Q2242213
Q2761147,Q2495862
Q2761147,Q2548750
Q2761147,Q2994156
Q2761147,Q3117735
Q2761147,Q3400581
Q2761147,Q3458196
Q2761147,Q4228029
Q2761147,Q4346052
Q2761147,Q4504516
Q2761147,Q5422235
Q2761147,Q7137437
Q2761147,Q7248067
Q2761147,Q7269307
Q2761147,Q20826063
Q2761147,Q27556165
Q2761147,Q50877551
Q2761147,Q52253007
Q2761147,Q54877479
Q2761147,Q61949333
Q2761147,Q78187883
Q2761147,Q86667968
Q2761147,Q110886414
Q2761147,Q51645
Q2761147,Q866210
Q2761147,Q911924
Q2761147,Q1615460
Q2761147,Q3508866
Q2761147,Q10551516
Q2761147,Q1900755
Q2761147,Q5164285
Q2761147,Q5601809
Q2761147,Q7099379
Q2761147,Q122119
Q2761147,Q184937
Q2761147,Q272281
Q2761147,Q483279
Q2761147,Q640954
Q2761147,Q668984
Q2761147,Q851758
Q2761147,Q856568
Q2761147,Q896903
Q2761147,Q1077012
Q2761147,Q1129398
Q2761147,Q1154693
Q2761147,Q1154933
Q2761147,Q1415084
Q2761147,Q1728972
Q2761147,Q1781367
Q2761147,Q1958056
Q2761147,Q2020153
Q2761147,Q2288051
